"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006952","defense response","38/142","366/9266",8.70448695314621e-22,6.63281905829741e-19,6.46880819886444e-19,"K09D9.1/C49G7.10/F13A7.11/nlp-30/nlp-31/irg-2/cnc-2/cnc-4/fbxc-58/zip-10/nlp-28/F08G2.5/nlp-29/tsp-1/lys-3/F22H10.2/pqm-1/F35E12.9/T24C4.4/pgp-1/vhp-1/lec-11/elt-3/F56D2.5/orai-1/ttr-21/cpr-3/nlp-33/ikb-1/zip-2/K08D8.4/ugt-44/Y43C5A.3/ilys-4/klf-3/ZK1055.7/sta-2/T19D12.4",38
"GO:0006955","immune response","28/142","245/9266",3.50831230746877e-17,1.10674214900122e-14,1.07937554523395e-14,"K09D9.1/C49G7.10/F13A7.11/irg-2/cnc-2/cnc-4/fbxc-58/zip-10/F08G2.5/tsp-1/lys-3/F22H10.2/pqm-1/F35E12.9/T24C4.4/pgp-1/lec-11/F56D2.5/orai-1/cpr-3/nlp-33/zip-2/K08D8.4/ugt-44/klf-3/ZK1055.7/sta-2/T19D12.4",28
"GO:0002376","immune system process","28/142","247/9266",4.3572525551229e-17,1.10674214900122e-14,1.07937554523395e-14,"K09D9.1/C49G7.10/F13A7.11/irg-2/cnc-2/cnc-4/fbxc-58/zip-10/F08G2.5/tsp-1/lys-3/F22H10.2/pqm-1/F35E12.9/T24C4.4/pgp-1/lec-11/F56D2.5/orai-1/cpr-3/nlp-33/zip-2/K08D8.4/ugt-44/klf-3/ZK1055.7/sta-2/T19D12.4",28
"GO:0045087","innate immune response","27/142","239/9266",1.86020382160753e-16,3.54368828016235e-14,3.45606288961821e-14,"K09D9.1/C49G7.10/F13A7.11/irg-2/cnc-2/cnc-4/fbxc-58/zip-10/F08G2.5/tsp-1/lys-3/F22H10.2/pqm-1/F35E12.9/T24C4.4/pgp-1/lec-11/F56D2.5/orai-1/cpr-3/nlp-33/zip-2/K08D8.4/ugt-44/klf-3/ZK1055.7/T19D12.4",27
"GO:0009607","response to biotic stimulus","20/142","196/9266",1.43762768756776e-11,1.56496042560948e-09,1.52626337958322e-09,"nlp-30/nlp-31/irg-2/cnc-2/cnc-4/nlp-28/nlp-29/pqm-1/pgp-1/vhp-1/elt-3/ttr-21/nlp-33/ikb-1/zip-2/Y43C5A.3/ilys-4/sta-2/jun-1/T19D12.4",20
"GO:0043207","response to external biotic stimulus","20/142","196/9266",1.43762768756776e-11,1.56496042560948e-09,1.52626337958322e-09,"nlp-30/nlp-31/irg-2/cnc-2/cnc-4/nlp-28/nlp-29/pqm-1/pgp-1/vhp-1/elt-3/ttr-21/nlp-33/ikb-1/zip-2/Y43C5A.3/ilys-4/sta-2/jun-1/T19D12.4",20
"GO:0051707","response to other organism","20/142","196/9266",1.43762768756776e-11,1.56496042560948e-09,1.52626337958322e-09,"nlp-30/nlp-31/irg-2/cnc-2/cnc-4/nlp-28/nlp-29/pqm-1/pgp-1/vhp-1/elt-3/ttr-21/nlp-33/ikb-1/zip-2/Y43C5A.3/ilys-4/sta-2/jun-1/T19D12.4",20
"GO:0098542","defense response to other organism","19/142","194/9266",9.9646179647995e-11,9.49129861147152e-09,9.25660563572164e-09,"nlp-30/nlp-31/irg-2/cnc-2/cnc-4/nlp-28/nlp-29/pqm-1/pgp-1/vhp-1/elt-3/ttr-21/nlp-33/ikb-1/zip-2/Y43C5A.3/ilys-4/sta-2/T19D12.4",19
"GO:0009617","response to bacterium","14/142","158/9266",1.20350414138951e-07,1.01896683970979e-05,9.93770671135668e-06,"nlp-31/irg-2/cnc-2/nlp-29/pqm-1/pgp-1/vhp-1/ttr-21/ikb-1/zip-2/Y43C5A.3/ilys-4/jun-1/T19D12.4",14
"GO:0050832","defense response to fungus","7/142","32/9266",4.18221221316258e-07,3.18684570642989e-05,3.10804402367662e-05,"nlp-31/cnc-2/cnc-4/nlp-29/elt-3/nlp-33/sta-2",7
"GO:0009620","response to fungus","7/142","33/9266",5.24066754159701e-07,3.63035333336083e-05,3.54058496111721e-05,"nlp-31/cnc-2/cnc-4/nlp-29/elt-3/nlp-33/sta-2",7
"GO:0042742","defense response to bacterium","13/142","157/9266",7.62303274692548e-07,4.84062579429768e-05,4.72093080642929e-05,"nlp-31/irg-2/cnc-2/nlp-29/pqm-1/pgp-1/vhp-1/ttr-21/ikb-1/zip-2/Y43C5A.3/ilys-4/T19D12.4",13
"GO:0050829","defense response to Gram-negative bacterium","10/142","97/9266",2.09967544383368e-06,0.00012307328370779,0.000120030029420776,"nlp-31/irg-2/cnc-2/pqm-1/pgp-1/ttr-21/ikb-1/zip-2/Y43C5A.3/T19D12.4",10
"GO:0044419","interspecies interaction between organisms","4/142","11/9266",1.60497318960308e-05,0.000873563978912533,0.000851963211924642,"nlp-31/nlp-29/nlp-33/Y43C5A.3",4
"GO:0097501","stress response to metal ion","5/142","26/9266",3.99769361956711e-05,0.00203082835874009,0.00198061171608027,"kreg-1/lys-3/F22H10.2/vhp-1/F53A9.1",5
"GO:0010038","response to metal ion","7/142","77/9266",0.000168237016708826,0.00801228792075784,0.00781416669713363,"kreg-1/lys-3/F22H10.2/pgp-1/vhp-1/gem-4/F53A9.1",7
"GO:0010035","response to inorganic substance","8/142","121/9266",0.000523445280881537,0.020243155362739,0.019742599372971,"kreg-1/lys-3/F22H10.2/pgp-1/vhp-1/gem-4/pha-4/F53A9.1",8
"GO:0031349","positive regulation of defense response","3/142","11/9266",0.000531316413720184,0.020243155362739,0.019742599372971,"vhp-1/zip-2/sta-2",3
"GO:0032963","collagen metabolic process","3/142","11/9266",0.000531316413720184,0.020243155362739,0.019742599372971,"zmp-3/zmp-4/W01F3.2",3
"GO:1990169","stress response to copper ion","3/142","11/9266",0.000531316413720184,0.020243155362739,0.019742599372971,"kreg-1/lys-3/vhp-1",3
